Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.10; Czas: 234.7578 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.50; Czas: 1207.8408 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.90; Czas: 2251.9188 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.10; Czas: 238.2100 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.50; Czas: 1202.2874 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.90; Czas: 2233.8555 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 750; Nasycenie: 0.10; Czas: 474.2395 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 750; Nasycenie: 0.50; Czas: 2485.2308 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 750; Nasycenie: 0.90; Czas: 4442.0983 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 750; Nasycenie: 0.10; Czas: 464.3216 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 750; Nasycenie: 0.50; Czas: 2491.8255 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 750; Nasycenie: 0.90; Czas: 4474.4279 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 750; Nasycenie: 0.10; Czas: 459.2405 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 750; Nasycenie: 0.50; Czas: 2482.0086 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 750; Nasycenie: 0.90; Czas: 4479.3836 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 750; Nasycenie: 0.10; Czas: 469.0065 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 750; Nasycenie: 0.50; Czas: 2566.6910 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 750; Nasycenie: 0.90; Czas: 4653.1996 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 750; Nasycenie: 0.10; Czas: 468.8973 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 750; Nasycenie: 0.50; Czas: 2637.8982 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 750; Nasycenie: 0.90; Czas: 4493.0171 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 750; Nasycenie: 0.10; Czas: 473.1085 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 750; Nasycenie: 0.50; Czas: 2621.9690 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 750; Nasycenie: 0.90; Czas: 4776.3810 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 750; Nasycenie: 0.10; Czas: 474.5783 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 750; Nasycenie: 0.50; Czas: 2517.4751 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 750; Nasycenie: 0.90; Czas: 4507.2530 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 750; Nasycenie: 0.10; Czas: 467.3470 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 750; Nasycenie: 0.50; Czas: 2531.6821 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 750; Nasycenie: 0.90; Czas: 4492.4212 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 750; Nasycenie: 0.10; Czas: 467.3435 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 750; Nasycenie: 0.50; Czas: 2475.6110 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 750; Nasycenie: 0.90; Czas: 4457.8656 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 750; Nasycenie: 0.10; Czas: 461.7897 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 750; Nasycenie: 0.50; Czas: 2543.0249 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 750; Nasycenie: 0.90; Czas: 4468.6202 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 900; Nasycenie: 0.10; Czas: 814.3925 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 900; Nasycenie: 0.50; Czas: 4445.2549 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 900; Nasycenie: 0.90; Czas: 7818.5305 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 900; Nasycenie: 0.10; Czas: 797.9932 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 900; Nasycenie: 0.50; Czas: 4438.7607 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 900; Nasycenie: 0.90; Czas: 7870.0512 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 900; Nasycenie: 0.10; Czas: 800.4197 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 900; Nasycenie: 0.50; Czas: 4447.8551 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 900; Nasycenie: 0.90; Czas: 7936.6064 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 900; Nasycenie: 0.10; Czas: 808.3987 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 900; Nasycenie: 0.50; Czas: 4460.5882 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 900; Nasycenie: 0.90; Czas: 7816.6919 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 900; Nasycenie: 0.10; Czas: 810.6268 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 900; Nasycenie: 0.50; Czas: 4458.2688 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 900; Nasycenie: 0.90; Czas: 7822.0717 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 900; Nasycenie: 0.10; Czas: 815.0151 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 900; Nasycenie: 0.50; Czas: 4453.2708 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 900; Nasycenie: 0.90; Czas: 7868.9956 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 900; Nasycenie: 0.10; Czas: 788.4676 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 900; Nasycenie: 0.50; Czas: 4511.8608 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 900; Nasycenie: 0.90; Czas: 7857.1828 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 900; Nasycenie: 0.10; Czas: 818.4393 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 900; Nasycenie: 0.50; Czas: 4540.6061 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 900; Nasycenie: 0.90; Czas: 7747.9484 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 900; Nasycenie: 0.10; Czas: 794.3847 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 900; Nasycenie: 0.50; Czas: 4469.4228 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 900; Nasycenie: 0.90; Czas: 7800.9302 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 900; Nasycenie: 0.10; Czas: 792.3395 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 900; Nasycenie: 0.50; Czas: 4472.3081 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 900; Nasycenie: 0.90; Czas: 7816.7018 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1050; Nasycenie: 0.10; Czas: 1290.0619 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1050; Nasycenie: 0.50; Czas: 7140.7591 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1050; Nasycenie: 0.90; Czas: 12504.9066 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1050; Nasycenie: 0.10; Czas: 1340.2415 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1050; Nasycenie: 0.50; Czas: 7116.7348 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1050; Nasycenie: 0.90; Czas: 12536.8378 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1050; Nasycenie: 0.10; Czas: 1314.6385 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1050; Nasycenie: 0.50; Czas: 7120.0979 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1050; Nasycenie: 0.90; Czas: 12487.7331 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1050; Nasycenie: 0.10; Czas: 1294.9505 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1050; Nasycenie: 0.50; Czas: 7198.8237 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1050; Nasycenie: 0.90; Czas: 12694.0932 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1050; Nasycenie: 0.10; Czas: 1298.9161 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1050; Nasycenie: 0.50; Czas: 7174.4116 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1050; Nasycenie: 0.90; Czas: 12549.1809 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1050; Nasycenie: 0.10; Czas: 1309.4217 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1050; Nasycenie: 0.50; Czas: 7134.1621 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1050; Nasycenie: 0.90; Czas: 12503.1204 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1050; Nasycenie: 0.10; Czas: 1301.8273 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1050; Nasycenie: 0.50; Czas: 7067.2752 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1050; Nasycenie: 0.90; Czas: 12674.2265 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1050; Nasycenie: 0.10; Czas: 1351.5959 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1050; Nasycenie: 0.50; Czas: 7252.9528 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1050; Nasycenie: 0.90; Czas: 12489.9862 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1050; Nasycenie: 0.10; Czas: 1302.1064 ms;
