Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1050; Nasycenie: 0.10; Czas: 4.0508 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1050; Nasycenie: 0.50; Czas: 17.2171 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1050; Nasycenie: 0.90; Czas: 29.4813 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1050; Nasycenie: 0.10; Czas: 3.8622 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1050; Nasycenie: 0.50; Czas: 16.6469 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1050; Nasycenie: 0.90; Czas: 29.6220 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1050; Nasycenie: 0.10; Czas: 3.8723 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1050; Nasycenie: 0.50; Czas: 16.9544 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1050; Nasycenie: 0.90; Czas: 30.2327 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1200; Nasycenie: 0.10; Czas: 5.0268 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1200; Nasycenie: 0.50; Czas: 21.7147 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1200; Nasycenie: 0.90; Czas: 38.6113 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1200; Nasycenie: 0.10; Czas: 4.9462 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1200; Nasycenie: 0.50; Czas: 21.9069 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1200; Nasycenie: 0.90; Czas: 37.7428 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1200; Nasycenie: 0.10; Czas: 4.8888 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1200; Nasycenie: 0.50; Czas: 21.6408 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1200; Nasycenie: 0.90; Czas: 38.2482 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1200; Nasycenie: 0.10; Czas: 4.8947 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1200; Nasycenie: 0.50; Czas: 21.8163 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1200; Nasycenie: 0.90; Czas: 38.8970 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1200; Nasycenie: 0.10; Czas: 4.9891 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1200; Nasycenie: 0.50; Czas: 21.8481 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1200; Nasycenie: 0.90; Czas: 38.4427 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1200; Nasycenie: 0.10; Czas: 4.8942 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1200; Nasycenie: 0.50; Czas: 23.2826 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1200; Nasycenie: 0.90; Czas: 38.5465 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1200; Nasycenie: 0.10; Czas: 5.1871 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1200; Nasycenie: 0.50; Czas: 21.9677 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1200; Nasycenie: 0.90; Czas: 38.6770 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1200; Nasycenie: 0.10; Czas: 5.0121 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1200; Nasycenie: 0.50; Czas: 21.8587 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1200; Nasycenie: 0.90; Czas: 38.4729 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1200; Nasycenie: 0.10; Czas: 4.9622 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1200; Nasycenie: 0.50; Czas: 21.7771 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1200; Nasycenie: 0.90; Czas: 38.3718 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1200; Nasycenie: 0.10; Czas: 5.1058 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1200; Nasycenie: 0.50; Czas: 21.7925 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1200; Nasycenie: 0.90; Czas: 38.5634 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1350; Nasycenie: 0.10; Czas: 6.1403 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1350; Nasycenie: 0.50; Czas: 27.6186 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1350; Nasycenie: 0.90; Czas: 48.6196 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1350; Nasycenie: 0.10; Czas: 6.1645 ms;
