Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 900; Nasycenie: 0.50; Czas: 50.0749 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 900; Nasycenie: 0.90; Czas: 60.1952 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 900; Nasycenie: 0.10; Czas: 33.4699 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 900; Nasycenie: 0.50; Czas: 49.9976 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 900; Nasycenie: 0.90; Czas: 60.8610 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 900; Nasycenie: 0.10; Czas: 32.0649 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 900; Nasycenie: 0.50; Czas: 49.2160 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 900; Nasycenie: 0.90; Czas: 61.0248 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 900; Nasycenie: 0.10; Czas: 32.5761 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 900; Nasycenie: 0.50; Czas: 48.2395 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 900; Nasycenie: 0.90; Czas: 58.7220 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1050; Nasycenie: 0.10; Czas: 43.6817 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1050; Nasycenie: 0.50; Czas: 69.3236 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1050; Nasycenie: 0.90; Czas: 81.7937 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1050; Nasycenie: 0.10; Czas: 44.9174 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1050; Nasycenie: 0.50; Czas: 69.0782 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1050; Nasycenie: 0.90; Czas: 82.4889 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1050; Nasycenie: 0.10; Czas: 44.8660 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1050; Nasycenie: 0.50; Czas: 69.2069 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1050; Nasycenie: 0.90; Czas: 81.9410 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1050; Nasycenie: 0.10; Czas: 44.8813 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1050; Nasycenie: 0.50; Czas: 67.7609 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1050; Nasycenie: 0.90; Czas: 87.5212 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1050; Nasycenie: 0.10; Czas: 45.1670 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1050; Nasycenie: 0.50; Czas: 200.7682 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1050; Nasycenie: 0.90; Czas: 81.8007 ms;
