Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.50; Czas: 19.3292 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.90; Czas: 25.7132 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.10; Czas: 13.3754 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.50; Czas: 19.2130 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.90; Czas: 26.2038 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.10; Czas: 24.1860 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.50; Czas: 37.0342 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.90; Czas: 47.5332 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.10; Czas: 23.4011 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.50; Czas: 35.6425 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.90; Czas: 46.8482 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.10; Czas: 23.4768 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.50; Czas: 36.0365 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.90; Czas: 47.5746 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.10; Czas: 23.3616 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.50; Czas: 35.2167 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.90; Czas: 47.9700 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.10; Czas: 23.5069 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.50; Czas: 35.3785 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.90; Czas: 46.5921 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.10; Czas: 23.1100 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.50; Czas: 34.9731 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.90; Czas: 47.4101 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.10; Czas: 23.7671 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.50; Czas: 35.0267 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.90; Czas: 47.0528 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.10; Czas: 24.3935 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.50; Czas: 35.7722 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.90; Czas: 47.0597 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.10; Czas: 23.3043 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.50; Czas: 35.6567 ms;
