Operacja;TypGrafu;N;Nasycenie;Srednia_ms;Odchylenie_ms;Srednia_Backtrackow
SHC;skierowany;16;0.80;0.0345;0.0071;2.10
SHC;nieskierowany;16;0.90;0.0175;0.0009;0.20
SHC;skierowany;16;0.90;0.0304;0.0016;0.30
SHC;nieskierowany;18;0.10;0.0479;0.0369;27.10
SHC;skierowany;18;0.10;0.0893;0.0646;27.90
SHC;nieskierowany;18;0.20;16.8050;8.4100;9444.50
SHC;skierowany;18;0.20;67.1563;43.0158;21587.40
SHC;nieskierowany;18;0.30;392.4515;798.3116;226895.80
SHC;skierowany;18;0.30;3076.7712;9723.7923;964390.40
SHC;nieskierowany;18;0.40;67.8473;196.8274;37074.70
SHC;skierowany;18;0.40;4.7084;10.1813;1502.20
SHC;nieskierowany;18;0.50;5.1559;16.0916;2852.30
SHC;skierowany;18;0.50;0.5386;0.8669;169.20
SHC;nieskierowany;18;0.60;0.5862;1.7586;303.80
SHC;skierowany;18;0.60;0.0664;0.0506;9.60
SHC;nieskierowany;18;0.70;0.0266;0.0071;2.50
SHC;skierowany;18;0.70;0.0471;0.0223;4.20
SHC;nieskierowany;18;0.80;0.0259;0.0108;2.90
SHC;skierowany;18;0.80;0.0398;0.0069;1.50
SHC;nieskierowany;18;0.90;0.0232;0.0056;1.20
SHC;skierowany;18;0.90;0.0384;0.0035;0.80
SHC;nieskierowany;20;0.10;0.1373;0.0547;71.00
SHC;skierowany;20;0.10;0.4228;0.4382;122.10
SHC;nieskierowany;20;0.20;201.6517;133.2657;107319.50
SHC;skierowany;20;0.20;232.5841;533.1885;62089.20
SHC;nieskierowany;20;0.30;11269.3021;33950.3431;5836608.50
SHC;skierowany;20;0.30;18.6065;38.4075;5374.80
SHC;nieskierowany;20;0.40;28.5649;71.9532;14371.90
SHC;skierowany;20;0.40;0.4555;0.7159;121.20
SHC;nieskierowany;20;0.50;2.3756;6.1613;1146.70
SHC;skierowany;20;0.50;0.6335;1.5415;185.20
SHC;nieskierowany;20;0.60;0.1305;0.1717;53.50
SHC;skierowany;20;0.60;0.0842;0.0589;13.50
SHC;nieskierowany;20;0.70;0.0845;0.1713;28.40
SHC;skierowany;20;0.70;0.0553;0.0202;4.10
SHC;nieskierowany;20;0.80;0.0350;0.0248;5.10
SHC;skierowany;20;0.80;0.0479;0.0130;1.80
SHC;nieskierowany;20;0.90;0.0323;0.0125;2.60
SHC;skierowany;20;0.90;0.0450;0.0032;0.30
