Operacja: rownowazenie; Typ: growing; n: 4000; Czas: 0.3408 ms;
Operacja: rownowazenie; Typ: growing; n: 4000; Czas: 0.5341 ms;
Operacja: rownowazenie; Typ: growing; n: 4000; Czas: 0.3792 ms;
Operacja: rownowazenie; Typ: growing; n: 4000; Czas: 1.0890 ms;
Operacja: rownowazenie; Typ: growing; n: 4000; Czas: 0.4006 ms;
Operacja: rownowazenie; Typ: growing; n: 4000; Czas: 0.3866 ms;
Operacja: rownowazenie; Typ: growing; n: 4000; Czas: 0.3444 ms;
Operacja: rownowazenie; Typ: growing; n: 4000; Czas: 0.3493 ms;
Operacja: rownowazenie; Typ: growing; n: 4000; Czas: 0.3353 ms;
Operacja: rownowazenie; Typ: growing; n: 4000; Czas: 0.4686 ms;
Operacja: rownowazenie; Typ: growing; n: 8000; Czas: 0.6770 ms;
Operacja: rownowazenie; Typ: growing; n: 8000; Czas: 1.1531 ms;
Operacja: rownowazenie; Typ: growing; n: 8000; Czas: 0.6796 ms;
Operacja: rownowazenie; Typ: growing; n: 8000; Czas: 1.2088 ms;
Operacja: rownowazenie; Typ: growing; n: 8000; Czas: 0.7135 ms;
Operacja: rownowazenie; Typ: growing; n: 8000; Czas: 0.6853 ms;
Operacja: rownowazenie; Typ: growing; n: 8000; Czas: 0.6303 ms;
Operacja: rownowazenie; Typ: growing; n: 8000; Czas: 0.6971 ms;
Operacja: rownowazenie; Typ: growing; n: 8000; Czas: 0.9213 ms;
Operacja: rownowazenie; Typ: growing; n: 8000; Czas: 0.8171 ms;
Operacja: rownowazenie; Typ: growing; n: 16000; Czas: 1.6597 ms;
Operacja: rownowazenie; Typ: growing; n: 16000; Czas: 1.2731 ms;
Operacja: rownowazenie; Typ: growing; n: 16000; Czas: 1.7490 ms;
Operacja: rownowazenie; Typ: growing; n: 16000; Czas: 1.5240 ms;
Operacja: rownowazenie; Typ: growing; n: 16000; Czas: 1.5815 ms;
Operacja: rownowazenie; Typ: growing; n: 16000; Czas: 1.4167 ms;
Operacja: rownowazenie; Typ: growing; n: 16000; Czas: 1.5056 ms;
Operacja: rownowazenie; Typ: growing; n: 16000; Czas: 1.5281 ms;
Operacja: rownowazenie; Typ: growing; n: 16000; Czas: 1.4005 ms;
Operacja: rownowazenie; Typ: growing; n: 16000; Czas: 1.4647 ms;
Operacja: rownowazenie; Typ: growing; n: 32000; Czas: 3.4677 ms;
Operacja: rownowazenie; Typ: growing; n: 32000; Czas: 2.8929 ms;
Operacja: rownowazenie; Typ: growing; n: 32000; Czas: 2.7643 ms;
Operacja: rownowazenie; Typ: growing; n: 32000; Czas: 3.6394 ms;
Operacja: rownowazenie; Typ: growing; n: 32000; Czas: 3.8020 ms;
Operacja: rownowazenie; Typ: growing; n: 32000; Czas: 4.0866 ms;
Operacja: rownowazenie; Typ: growing; n: 32000; Czas: 3.2238 ms;
Operacja: rownowazenie; Typ: growing; n: 32000; Czas: 4.1591 ms;
Operacja: rownowazenie; Typ: growing; n: 32000; Czas: 3.8415 ms;
Operacja: rownowazenie; Typ: growing; n: 32000; Czas: 3.6146 ms;
Operacja: rownowazenie; Typ: descending; n: 500; Czas: 0.1028 ms;
Operacja: rownowazenie; Typ: descending; n: 500; Czas: 0.0983 ms;
Operacja: rownowazenie; Typ: descending; n: 500; Czas: 0.1277 ms;
Operacja: rownowazenie; Typ: descending; n: 500; Czas: 0.1074 ms;
Operacja: rownowazenie; Typ: descending; n: 500; Czas: 0.1491 ms;
Operacja: rownowazenie; Typ: descending; n: 500; Czas: 0.0993 ms;
Operacja: rownowazenie; Typ: descending; n: 500; Czas: 0.1111 ms;
Operacja: rownowazenie; Typ: descending; n: 500; Czas: 0.1443 ms;
Operacja: rownowazenie; Typ: descending; n: 500; Czas: 0.1444 ms;
Operacja: rownowazenie; Typ: descending; n: 500; Czas: 0.1009 ms;
Operacja: rownowazenie; Typ: descending; n: 1000; Czas: 0.1700 ms;
Operacja: rownowazenie; Typ: descending; n: 1000; Czas: 0.2054 ms;
Operacja: rownowazenie; Typ: descending; n: 1000; Czas: 0.1823 ms;
Operacja: rownowazenie; Typ: descending; n: 1000; Czas: 0.1720 ms;
Operacja: rownowazenie; Typ: descending; n: 1000; Czas: 0.2275 ms;
Operacja: rownowazenie; Typ: descending; n: 1000; Czas: 0.1955 ms;
Operacja: rownowazenie; Typ: descending; n: 1000; Czas: 0.2293 ms;
Operacja: rownowazenie; Typ: descending; n: 1000; Czas: 0.2268 ms;
Operacja: rownowazenie; Typ: descending; n: 1000; Czas: 0.4655 ms;
Operacja: rownowazenie; Typ: descending; n: 1000; Czas: 0.2462 ms;
Operacja: rownowazenie; Typ: descending; n: 2000; Czas: 0.4373 ms;
Operacja: rownowazenie; Typ: descending; n: 2000; Czas: 0.4068 ms;
Operacja: rownowazenie; Typ: descending; n: 2000; Czas: 0.4611 ms;
Operacja: rownowazenie; Typ: descending; n: 2000; Czas: 0.4621 ms;
Operacja: rownowazenie; Typ: descending; n: 2000; Czas: 0.3380 ms;
Operacja: rownowazenie; Typ: descending; n: 2000; Czas: 0.4975 ms;
Operacja: rownowazenie; Typ: descending; n: 2000; Czas: 0.5508 ms;
Operacja: rownowazenie; Typ: descending; n: 2000; Czas: 0.6472 ms;
Operacja: rownowazenie; Typ: descending; n: 2000; Czas: 0.5041 ms;
Operacja: rownowazenie; Typ: descending; n: 2000; Czas: 0.4891 ms;
Operacja: rownowazenie; Typ: descending; n: 4000; Czas: 0.7403 ms;
Operacja: rownowazenie; Typ: descending; n: 4000; Czas: 0.6018 ms;
Operacja: rownowazenie; Typ: descending; n: 4000; Czas: 0.7674 ms;
Operacja: rownowazenie; Typ: descending; n: 4000; Czas: 1.3541 ms;
Operacja: rownowazenie; Typ: descending; n: 4000; Czas: 0.7710 ms;
Operacja: rownowazenie; Typ: descending; n: 4000; Czas: 0.7751 ms;
Operacja: rownowazenie; Typ: descending; n: 4000; Czas: 0.9330 ms;
Operacja: rownowazenie; Typ: descending; n: 4000; Czas: 0.9106 ms;
Operacja: rownowazenie; Typ: descending; n: 4000; Czas: 0.8364 ms;
Operacja: rownowazenie; Typ: descending; n: 4000; Czas: 0.8285 ms;
Operacja: rownowazenie; Typ: descending; n: 8000; Czas: 1.3718 ms;
Operacja: rownowazenie; Typ: descending; n: 8000; Czas: 1.3214 ms;
Operacja: rownowazenie; Typ: descending; n: 8000; Czas: 1.4013 ms;
Operacja: rownowazenie; Typ: descending; n: 8000; Czas: 1.9571 ms;
