Operacja: max; Typ: growing; n: 2000; Czas: 0.0012 ms;
Operacja: max; Typ: growing; n: 2000; Czas: 0.0008 ms;
Operacja: max; Typ: growing; n: 4000; Czas: 0.0018 ms;
Operacja: max; Typ: growing; n: 4000; Czas: 0.0020 ms;
Operacja: max; Typ: growing; n: 4000; Czas: 0.0014 ms;
Operacja: max; Typ: growing; n: 4000; Czas: 0.0014 ms;
Operacja: max; Typ: growing; n: 4000; Czas: 0.0015 ms;
Operacja: max; Typ: growing; n: 4000; Czas: 0.0012 ms;
Operacja: max; Typ: growing; n: 4000; Czas: 0.0011 ms;
Operacja: max; Typ: growing; n: 4000; Czas: 0.0010 ms;
Operacja: max; Typ: growing; n: 4000; Czas: 0.0014 ms;
Operacja: max; Typ: growing; n: 4000; Czas: 0.0011 ms;
Operacja: max; Typ: growing; n: 8000; Czas: 0.0334 ms;
Operacja: max; Typ: growing; n: 8000; Czas: 0.0032 ms;
Operacja: max; Typ: growing; n: 8000; Czas: 0.0035 ms;
Operacja: max; Typ: growing; n: 8000; Czas: 0.0041 ms;
Operacja: max; Typ: growing; n: 8000; Czas: 0.0041 ms;
Operacja: max; Typ: growing; n: 8000; Czas: 0.0026 ms;
Operacja: max; Typ: growing; n: 8000; Czas: 0.0039 ms;
Operacja: max; Typ: growing; n: 8000; Czas: 0.0159 ms;
Operacja: max; Typ: growing; n: 8000; Czas: 0.0037 ms;
Operacja: max; Typ: growing; n: 8000; Czas: 0.0039 ms;
Operacja: max; Typ: growing; n: 16000; Czas: 0.0041 ms;
Operacja: max; Typ: growing; n: 16000; Czas: 0.0049 ms;
Operacja: max; Typ: growing; n: 16000; Czas: 0.0050 ms;
Operacja: max; Typ: growing; n: 16000; Czas: 0.0045 ms;
Operacja: max; Typ: growing; n: 16000; Czas: 0.0030 ms;
Operacja: max; Typ: growing; n: 16000; Czas: 0.0072 ms;
Operacja: max; Typ: growing; n: 16000; Czas: 0.0042 ms;
Operacja: max; Typ: growing; n: 16000; Czas: 0.0046 ms;
Operacja: max; Typ: growing; n: 16000; Czas: 0.0052 ms;
Operacja: max; Typ: growing; n: 16000; Czas: 0.0036 ms;
Operacja: max; Typ: growing; n: 32000; Czas: 0.0089 ms;
Operacja: max; Typ: growing; n: 32000; Czas: 0.0062 ms;
Operacja: max; Typ: growing; n: 32000; Czas: 0.0044 ms;
Operacja: max; Typ: growing; n: 32000; Czas: 0.0069 ms;
Operacja: max; Typ: growing; n: 32000; Czas: 0.0049 ms;
Operacja: max; Typ: growing; n: 32000; Czas: 0.0037 ms;
Operacja: max; Typ: growing; n: 32000; Czas: 0.0054 ms;
Operacja: max; Typ: growing; n: 32000; Czas: 0.0034 ms;
Operacja: max; Typ: growing; n: 32000; Czas: 0.0063 ms;
Operacja: max; Typ: growing; n: 32000; Czas: 0.0048 ms;
Operacja: max; Typ: growing; n: 64000; Czas: 0.0039 ms;
Operacja: max; Typ: growing; n: 64000; Czas: 0.0053 ms;
Operacja: max; Typ: growing; n: 64000; Czas: 0.0046 ms;
Operacja: max; Typ: growing; n: 64000; Czas: 0.0033 ms;
Operacja: max; Typ: growing; n: 64000; Czas: 0.0036 ms;
Operacja: max; Typ: growing; n: 64000; Czas: 0.0036 ms;
Operacja: max; Typ: growing; n: 64000; Czas: 0.0033 ms;
Operacja: max; Typ: growing; n: 64000; Czas: 0.0036 ms;
Operacja: max; Typ: growing; n: 64000; Czas: 0.0028 ms;
Operacja: max; Typ: growing; n: 64000; Czas: 0.0048 ms;
Operacja: max; Typ: growing; n: 128000; Czas: 0.0042 ms;
Operacja: max; Typ: growing; n: 128000; Czas: 0.0033 ms;
Operacja: max; Typ: growing; n: 128000; Czas: 0.0047 ms;
Operacja: max; Typ: growing; n: 128000; Czas: 0.0040 ms;
Operacja: max; Typ: growing; n: 128000; Czas: 0.0032 ms;
Operacja: max; Typ: growing; n: 128000; Czas: 0.0033 ms;
Operacja: max; Typ: growing; n: 128000; Czas: 0.0037 ms;
Operacja: max; Typ: growing; n: 128000; Czas: 0.0039 ms;
Operacja: max; Typ: growing; n: 128000; Czas: 0.0045 ms;
Operacja: max; Typ: growing; n: 128000; Czas: 0.0037 ms;
Operacja: max; Typ: growing; n: 256000; Czas: 0.0042 ms;
Operacja: max; Typ: growing; n: 256000; Czas: 0.0044 ms;
Operacja: max; Typ: growing; n: 256000; Czas: 0.0084 ms;
