Operacja: max; Typ: growing; n: 25000; Czas: 0.3749 ms;
Operacja: max; Typ: growing; n: 25000; Czas: 0.5051 ms;
Operacja: max; Typ: growing; n: 30000; Czas: 0.5953 ms;
Operacja: max; Typ: growing; n: 30000; Czas: 0.4658 ms;
Operacja: max; Typ: growing; n: 30000; Czas: 0.4189 ms;
Operacja: max; Typ: growing; n: 30000; Czas: 0.5497 ms;
Operacja: max; Typ: growing; n: 30000; Czas: 0.4846 ms;
Operacja: max; Typ: growing; n: 30000; Czas: 0.4870 ms;
Operacja: max; Typ: growing; n: 30000; Czas: 0.5448 ms;
Operacja: max; Typ: growing; n: 30000; Czas: 0.5297 ms;
Operacja: max; Typ: growing; n: 30000; Czas: 0.4737 ms;
Operacja: max; Typ: growing; n: 30000; Czas: 0.7697 ms;
Operacja: max; Typ: descending; n: 5000; Czas: 0.0011 ms;
Operacja: max; Typ: descending; n: 5000; Czas: 0.0015 ms;
Operacja: max; Typ: descending; n: 5000; Czas: 0.0008 ms;
Operacja: max; Typ: descending; n: 5000; Czas: 0.0010 ms;
Operacja: max; Typ: descending; n: 5000; Czas: 0.0010 ms;
Operacja: max; Typ: descending; n: 5000; Czas: 0.0010 ms;
Operacja: max; Typ: descending; n: 5000; Czas: 0.0011 ms;
Operacja: max; Typ: descending; n: 5000; Czas: 0.0011 ms;
Operacja: max; Typ: descending; n: 5000; Czas: 0.0009 ms;
Operacja: max; Typ: descending; n: 5000; Czas: 0.0010 ms;
Operacja: max; Typ: descending; n: 10000; Czas: 0.0011 ms;
Operacja: max; Typ: descending; n: 10000; Czas: 0.0009 ms;
Operacja: max; Typ: descending; n: 10000; Czas: 0.0008 ms;
Operacja: max; Typ: descending; n: 10000; Czas: 0.0008 ms;
Operacja: max; Typ: descending; n: 10000; Czas: 0.0014 ms;
Operacja: max; Typ: descending; n: 10000; Czas: 0.0017 ms;
Operacja: max; Typ: descending; n: 10000; Czas: 0.0010 ms;
Operacja: max; Typ: descending; n: 10000; Czas: 0.0008 ms;
Operacja: max; Typ: descending; n: 10000; Czas: 0.0012 ms;
Operacja: max; Typ: descending; n: 10000; Czas: 0.0009 ms;
Operacja: max; Typ: descending; n: 15000; Czas: 0.0008 ms;
Operacja: max; Typ: descending; n: 15000; Czas: 0.0013 ms;
Operacja: max; Typ: descending; n: 15000; Czas: 0.0015 ms;
Operacja: max; Typ: descending; n: 15000; Czas: 0.0009 ms;
Operacja: max; Typ: descending; n: 15000; Czas: 0.0009 ms;
Operacja: max; Typ: descending; n: 15000; Czas: 0.0012 ms;
Operacja: max; Typ: descending; n: 15000; Czas: 0.0007 ms;
Operacja: max; Typ: descending; n: 15000; Czas: 0.0008 ms;
Operacja: max; Typ: descending; n: 15000; Czas: 0.0017 ms;
Operacja: max; Typ: descending; n: 15000; Czas: 0.0008 ms;
Operacja: max; Typ: descending; n: 20000; Czas: 0.0012 ms;
Operacja: max; Typ: descending; n: 20000; Czas: 0.0011 ms;
Operacja: max; Typ: descending; n: 20000; Czas: 0.0010 ms;
Operacja: max; Typ: descending; n: 20000; Czas: 0.0011 ms;
Operacja: max; Typ: descending; n: 20000; Czas: 0.0010 ms;
