Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.30; Czas: 0.0400 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.30; Czas: 0.0412 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.30; Czas: 0.0412 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.30; Czas: 0.0416 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.30; Czas: 0.0451 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.40; Czas: 0.0231 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.40; Czas: 0.0226 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.40; Czas: 0.0535 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.40; Czas: 0.0145 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.40; Czas: 0.0141 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.40; Czas: 0.0134 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.40; Czas: 0.0143 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.40; Czas: 0.0142 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.40; Czas: 0.0329 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.40; Czas: 0.0236 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.40; Czas: 0.0497 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.40; Czas: 0.0441 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.40; Czas: 0.0467 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.40; Czas: 0.0481 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.40; Czas: 0.0450 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.40; Czas: 0.0434 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.40; Czas: 0.0431 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.40; Czas: 0.0441 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.40; Czas: 0.0433 ms;
