Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.80; Czas: 0.1099 ms; Backtracki: 6;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.80; Czas: 0.1168 ms; Backtracki: 10;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.80; Czas: 0.1211 ms; Backtracki: 7;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.80; Czas: 0.1125 ms; Backtracki: 6;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.80; Czas: 0.1158 ms; Backtracki: 9;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.80; Czas: 0.1215 ms; Backtracki: 6;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.80; Czas: 0.1063 ms; Backtracki: 6;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.80; Czas: 0.1169 ms; Backtracki: 8;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.90; Czas: 0.0380 ms; Backtracki: 3;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.90; Czas: 0.0379 ms; Backtracki: 3;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.90; Czas: 0.0393 ms; Backtracki: 3;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.90; Czas: 0.0449 ms; Backtracki: 2;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.90; Czas: 0.0405 ms; Backtracki: 3;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.90; Czas: 0.0333 ms; Backtracki: 2;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.90; Czas: 0.0394 ms; Backtracki: 3;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.90; Czas: 0.0409 ms; Backtracki: 2;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.90; Czas: 0.0574 ms; Backtracki: 3;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.90; Czas: 0.0389 ms; Backtracki: 3;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.90; Czas: 0.1361 ms; Backtracki: 18;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.90; Czas: 0.1129 ms; Backtracki: 7;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.90; Czas: 0.1211 ms; Backtracki: 7;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.90; Czas: 0.1321 ms; Backtracki: 8;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.90; Czas: 0.1269 ms; Backtracki: 7;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.90; Czas: 0.1225 ms; Backtracki: 7;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.90; Czas: 0.1224 ms; Backtracki: 7;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.90; Czas: 0.1184 ms; Backtracki: 7;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.90; Czas: 0.1184 ms; Backtracki: 7;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.90; Czas: 0.1275 ms; Backtracki: 7;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.50; Czas: 0.2200 ms; Backtracki: 3;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.50; Czas: 0.2648 ms; Backtracki: 4;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.50; Czas: 0.2369 ms; Backtracki: 4;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.50; Czas: 0.2148 ms; Backtracki: 5;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.50; Czas: 0.2156 ms; Backtracki: 5;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.50; Czas: 0.2740 ms; Backtracki: 4;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.50; Czas: 0.1943 ms; Backtracki: 3;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.50; Czas: 0.1901 ms; Backtracki: 5;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.50; Czas: 0.2709 ms; Backtracki: 3;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.50; Czas: 0.2030 ms; Backtracki: 2;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.50; Czas: 0.6117 ms; Backtracki: 8;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.50; Czas: 0.4922 ms; Backtracki: 7;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.50; Czas: 0.5420 ms; Backtracki: 8;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.50; Czas: 0.5555 ms; Backtracki: 9;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.50; Czas: 3.1792 ms; Backtracki: 192;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.50; Czas: 0.5417 ms; Backtracki: 10;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.50; Czas: 0.5081 ms; Backtracki: 10;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.50; Czas: 0.4810 ms; Backtracki: 9;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.50; Czas: 0.6521 ms; Backtracki: 15;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.50; Czas: 0.6641 ms; Backtracki: 11;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.60; Czas: 0.2044 ms; Backtracki: 3;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.60; Czas: 0.3051 ms; Backtracki: 7;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.60; Czas: 0.2334 ms; Backtracki: 5;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.60; Czas: 0.2271 ms; Backtracki: 4;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.60; Czas: 0.2142 ms; Backtracki: 6;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.60; Czas: 0.2256 ms; Backtracki: 4;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.60; Czas: 0.2233 ms; Backtracki: 4;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.60; Czas: 0.2347 ms; Backtracki: 5;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.60; Czas: 0.2236 ms; Backtracki: 4;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.60; Czas: 0.2229 ms; Backtracki: 5;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.60; Czas: 0.6192 ms; Backtracki: 11;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.60; Czas: 0.6138 ms; Backtracki: 13;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.60; Czas: 0.5985 ms; Backtracki: 10;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.60; Czas: 0.6346 ms; Backtracki: 10;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.60; Czas: 0.7217 ms; Backtracki: 25;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.60; Czas: 0.6483 ms; Backtracki: 15;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.60; Czas: 0.6097 ms; Backtracki: 11;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.60; Czas: 0.6397 ms; Backtracki: 11;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.60; Czas: 0.6663 ms; Backtracki: 12;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.60; Czas: 0.6988 ms; Backtracki: 23;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.70; Czas: 0.2931 ms; Backtracki: 6;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.70; Czas: 0.2769 ms; Backtracki: 5;
