Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.90; Czas: 0.0032 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.90; Czas: 0.0058 ms; Backtracki: 3;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.90; Czas: 0.0046 ms; Backtracki: 2;
Operacja: SHC; Typ: nieskierowany; n: 4; Nasycenie: 0.90; Czas: 0.0047 ms; Backtracki: 2;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.90; Czas: 0.0052 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.90; Czas: 0.0047 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.90; Czas: 0.0046 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.90; Czas: 0.0045 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.90; Czas: 0.0059 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.90; Czas: 0.0053 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.90; Czas: 0.0072 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.90; Czas: 0.0052 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.90; Czas: 0.0048 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 4; Nasycenie: 0.90; Czas: 0.0072 ms; Backtracki: 2;
Operacja: SHC; Typ: nieskierowany; n: 6; Nasycenie: 0.50; Czas: 0.0049 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 6; Nasycenie: 0.50; Czas: 0.0047 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 6; Nasycenie: 0.50; Czas: 0.0046 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 6; Nasycenie: 0.50; Czas: 0.0049 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 6; Nasycenie: 0.50; Czas: 0.0047 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 6; Nasycenie: 0.50; Czas: 0.0097 ms; Backtracki: 5;
Operacja: SHC; Typ: nieskierowany; n: 6; Nasycenie: 0.50; Czas: 0.0048 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 6; Nasycenie: 0.50; Czas: 0.0092 ms; Backtracki: 5;
Operacja: SHC; Typ: nieskierowany; n: 6; Nasycenie: 0.50; Czas: 0.0048 ms; Backtracki: 0;
