Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.60; Czas: 0.0003 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.60; Czas: 0.0003 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.60; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.60; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.60; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.60; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.60; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.60; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.60; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.60; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.60; Czas: 0.0003 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.60; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.60; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.60; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.60; Czas: 0.0004 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.60; Czas: 0.0003 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.60; Czas: 0.0003 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.60; Czas: 0.0003 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.60; Czas: 0.0004 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.60; Czas: 0.0003 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.70; Czas: 0.0003 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.70; Czas: 0.0003 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.70; Czas: 0.0003 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.70; Czas: 0.0003 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.70; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.70; Czas: 0.0003 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.70; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.70; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.70; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.70; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.70; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.70; Czas: 0.0003 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.70; Czas: 0.0003 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.70; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.70; Czas: 0.0003 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.70; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.70; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.70; Czas: 0.0003 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.70; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.70; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.80; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.80; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.80; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.80; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.80; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.80; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.80; Czas: 0.0003 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.80; Czas: 0.0001 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.80; Czas: 0.0003 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.80; Czas: 0.0003 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.80; Czas: 0.0003 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.80; Czas: 0.0003 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.80; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.80; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.80; Czas: 0.0003 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.80; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.80; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.80; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.80; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.80; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.90; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.90; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.90; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.90; Czas: 0.0003 ms;
